coin,fundingRate,premium,time
HYPE,1.25e-05,7.41106e-05,1740999600021
HYPE,1.25e-05,0.0001903844,1741003200007
HYPE,1.25e-05,0.0005614333,1741006800078
HYPE,1.25e-05,0.0001227751,1741010400092
HYPE,1.25e-05,0.000244633,1741014000031
HYPE,1.25e-05,0.0005836672,1741017600013
HYPE,8.55783e-05,0.0011846267,1741021200125
HYPE,7.95409e-05,0.0011363274,1741024800013
HYPE,0.0001872975,0.0019983796,1741028400042
HYPE,0.0002691882,0.0026535057,1741032000055
HYPE,5.67136e-05,0.0009537091,1741035600008
HYPE,8.13781e-05,0.0011510246,1741039200195
HYPE,1.25e-05,0.0005891706,1741042800052
HYPE,0.0001112034,0.0013896275,1741046400060
HYPE,0.0001138874,0.0014110992,1741050000040
HYPE,0.0001532191,0.001725753,1741053600091
HYPE,1.25e-05,0.000481275,1741057200031
HYPE,0.0001141386,0.0014131088,1741060800008
HYPE,0.0001096526,0.0013772207,1741064400003
HYPE,4.47513e-05,0.00085801,1741068000136
HYPE,1.25e-05,0.0001558412,1741071600015
HYPE,7.98326e-05,0.0011386605,1741075200045
HYPE,0.0001331751,0.001565401,1741078800049
HYPE,0.0001737324,0.0018898592,1741082400050
HYPE,8.34328e-05,0.0011674627,1741086000048
HYPE,3.2019e-05,0.0007561521,1741089600008
HYPE,1.25e-05,0.0004198608,1741093200030
HYPE,0.0001121511,0.001397209,1741096800038
HYPE,1.25e-05,0.0002775028,1741100400014
HYPE,2.48753e-05,0.0006990023,1741104000078
HYPE,1.8418e-05,0.0006473437,1741107600027
HYPE,1.25e-05,0.0005084425,1741111200006
HYPE,2.08506e-05,0.0006668048,1741114800111
HYPE,1.25e-05,0.0002917159,1741118400062
HYPE,1.25e-05,-0.0002351631,1741122000029
HYPE,1.25e-05,9.20331e-05,1741125600126
HYPE,1.25e-05,-0.000225718,1741129200006
HYPE,1.25e-05,-7.24576e-05,1741132800036
HYPE,1.25e-05,0.0001688241,1741136400064
HYPE,1.70746e-05,0.0006365972,1741140000053
HYPE,1.25e-05,0.0001235235,1741143600009
HYPE,1.25e-05,0.0005614083,1741147200045
HYPE,3.54966e-05,0.000783973,1741150800040
HYPE,1.25e-05,1.43129e-05,1741154400098
HYPE,5.40112e-05,0.0009320893,1741158000153
HYPE,1.25e-05,3.49243e-05,1741161600056
HYPE,1.25e-05,-0.0002291068,1741165200036
HYPE,1.25e-05,-0.0003012456,1741168800066
HYPE,1.25e-05,-0.0002093809,1741172400035
HYPE,1.25e-05,-0.000195312,1741176000044
HYPE,5.0691e-06,-0.0004594468,1741179600020
HYPE,3.318e-06,-0.0004734559,1741183200084
HYPE,1.25e-05,-0.0002552164,1741186800025
HYPE,1.25e-05,0.0003351648,1741190400043
HYPE,1.46436e-05,0.000617149,1741194000040
HYPE,1.25e-05,0.0002231082,1741197600020
HYPE,1.25e-05,5.55502e-05,1741201200028
HYPE,1.25e-05,-0.0002430589,1741204800097
HYPE,1.25e-05,-0.0002818497,1741208400112
HYPE,1.25e-05,-0.0001189434,1741212000030
HYPE,1.25e-05,-0.000140844,1741215600105
HYPE,1.25e-05,-1.29052e-05,1741219200014
HYPE,1.25e-05,0.000333579,1741222800079
HYPE,1.25e-05,0.0005156767,1741226400147
HYPE,1.25e-05,0.0001307154,1741230000072
HYPE,1.25e-05,0.000103046,1741233600033
